自然地理与行政区划_镇个数,地区生产总值                                                                                        
全市国民经济主要指标_教育_在校学生数_普通中学,集体户户数(人口抽样调查)(户)                                                                        
全市国民经济主要指标_教育_在校学生数_小学,家庭户人口数(人口抽样调查)(人)                                                                      
全市国民经济主要指标_卫生_卫生机构数,家庭户男性人口数(人口抽样调查)(人)                                                                  
全市国民经济主要指标_卫生_卫生机构数_医院、卫生院,家庭户女性人口数(人口抽样调查)(人)                                                                  
全市国民经济主要指标_卫生_卫生技术人员,集体户人口数(人口抽样调查)(人)                                                                      
全市国民经济主要指标_卫生_卫生技术人员_医生,集体户男性人口数(人口抽样调查)(人)                                                                  
全市国民经济主要指标_卫生_床位数,集体户女性人口数(人口抽样调查)(人)                                                                  
全市国民经济主要指标_卫生_床位数_医院、卫生院,人口数(人口抽样调查)(人)                                                                            
全市国民经济主要指标发展速度_人口_年末总人口,男性人口数(人口抽样调查)(人)                                                                        
全市国民经济主要指标发展速度_人口_年末总人口_非农业人口,女性人口数(人口抽样调查)(人)                                                                        
全市国民经济主要指标发展速度_年末常住人口,住本乡、镇、街道，户口在本乡、镇、街道人口数(人口抽样调查)(人)                                      
全市国民经济主要指标发展速度_地区生产总值,住本乡、镇、街道，户口在本乡、镇、街道男性人口数(人口抽样调查)(人)                                  
全市国民经济主要指标发展速度_第一产业,住本乡、镇、街道，户口在本乡、镇、街道女性人口数(人口抽样调查)(人)                                  
全市国民经济主要指标发展速度_第二产业,住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上人口数(人口抽样调查)(人)              
全市国民经济主要指标发展速度_第二产业_工业,住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上男性人口数(人口抽样调查)(人)          
全市国民经济主要指标发展速度_第三产业,住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上女性人口数(人口抽样调查)(人)          
全市国民经济主要指标发展速度_第三产业_人均GDP,住本乡、镇、街道，户口待定人口数(人口抽样调查)(人)                                                  
全市国民经济主要指标发展速度_运输邮电_全社会客运量,住本乡、镇、街道，户口待定男性人口数(人口抽样调查)(人)                                              
全市国民经济主要指标发展速度_运输邮电_全社会货运量,住本乡、镇、街道，户口待定女性人口数(人口抽样调查)(人)                                              
全市国民经济主要指标发展速度_运输邮电_邮电业务总量,居住在港澳台或国外，户口在本乡、镇、街道人口数(人口抽样调查)(人)                                    
全市国民经济主要指标发展速度_国内贸易_社会消费品零售总额,居住在港澳台或国外，户口在本乡、镇、街道男性人口数(人口抽样调查)(人)                                
全市国民经济主要指标发展速度_对外经济和国际旅游_进出口总额,居住在港澳台或国外，户口在本乡、镇、街道女性人口数(人口抽样调查)(人)                                
全市国民经济主要指标发展速度_对外经济和国际旅游_进出口总额_出口总额,人口数(人口抽样调查)(人)                                                                            
全市国民经济主要指标发展速度_对外经济和国际旅游_利用外资_新签协议（合同）项目数,0-14岁人口数(人口抽样调查)(人)                                                                      
全市国民经济主要指标发展速度_对外经济和国际旅游_利用外资_协议（合同）外资金额,15-64岁人口数(人口抽样调查)(人)                                                                     
全市国民经济主要指标发展速度_对外经济和国际旅游_利用外资_实际利用外资,65岁及以上人口数(人口抽样调查)(人)                                                                  
全市国民经济主要指标发展速度_对外经济和国际旅游_国家旅游_接待境外旅游者人数,总抚养比(人口抽样调查)(%)                                                                           
全市国民经济主要指标发展速度_电力_全社会用电量,少年儿童抚养比(人口抽样调查)(%)                                                                     
全市国民经济主要指标发展速度_电力_全社会用电量_工业用电量,老年人口抚养比(人口抽样调查)(%)                                                                     
全市国民经济主要指标发展速度_固定资产投资_全社会固定资产投资,15岁及以上人口数(人口抽样调查)(人)                                                                  
全市国民经济主要指标发展速度_财政_财政收入,15岁及以上男性人口数(人口抽样调查)(人)                                                              
全市国民经济主要指标发展速度_财政_财政收入_地方财政收入,15岁及以上女性人口数(人口抽样调查)(人)                                                              
全市国民经济主要指标发展速度_财政_财政支出,15岁及以上未婚人口数(人口抽样调查)(人)                                                              
全市国民经济主要指标发展速度_金融_金融机构年末存款余额,15岁及以上男性未婚人口数(人口抽样调查)(人)                                                          
全市国民经济主要指标发展速度_金融_金融机构年末贷款余额,15岁及以上女性未婚人口数(人口抽样调查)(人)                                                          
全市国民经济主要指标发展速度_物价指数_市区居民消费价格指数,15岁及以上初婚有配偶人口数(人口抽样调查)(人)                                                        
全市国民经济主要指标发展速度_物价指数_市区商品零售价格指数,15岁及以上男性初婚有配偶人口数(人口抽样调查)(人)                                                    
全市国民经济主要指标发展速度_工资_职工工资总额,15岁及以上女性初婚有配偶人口数(人口抽样调查)(人)                                                    
全市国民经济主要指标发展速度_工资_职工平均工资,15岁及以上再婚有配偶人口数(人口抽样调查)(人)                                                        
全市国民经济主要指标发展速度_人民生活_农村居民人均纯收入,15岁及以上男性再婚有配偶人口数(人口抽样调查)(人)                                                    
全市国民经济主要指标发展速度_人民生活_城镇居民人均可支配收入,15岁及以上女性再婚有配偶人口数(人口抽样调查)(人)                                                    
全市国民经济主要指标发展速度_人民生活_城乡居民储蓄年末存款余额,15岁及以上离婚人口数(人口抽样调查)(人)                                                              
全市国民经济主要指标发展速度_教育_在校学生数_高等学校,15岁及以上男性离婚人口数(人口抽样调查)(人)                                                          
全市国民经济主要指标发展速度_教育_在校学生数_中等专业学校,15岁及以上女性离婚人口数(人口抽样调查)(人)                                                          
全市国民经济主要指标发展速度_教育_在校学生数_职业中学,15岁及以上丧偶人口数(人口抽样调查)(人)                                                              
全市国民经济主要指标发展速度_教育_在校学生数_普通中学,15岁及以上男性丧偶人口数(人口抽样调查)(人)                                                          
全市国民经济主要指标发展速度_教育_在校学生数_小学,15岁及以上女性丧偶人口数(人口抽样调查)(人)                                                          
全市国民经济主要指标发展速度_卫生_卫生机构数,6岁及6岁以上人口数(人口抽样调查)(人)                                                                
全市国民经济主要指标发展速度_卫生_卫生机构数_医院、卫生院,6岁及6岁以上男性人口数(人口抽样调查)(人)                                                            
全市国民经济主要指标发展速度_卫生_卫生技术人员,6岁及6岁以上女性人口数(人口抽样调查)(人)                                                            
全市国民经济主要指标发展速度_卫生_卫生技术人员_医生,6岁及6岁以上未上过学人口数(人口抽样调查)(人)                                                        
全市国民经济主要指标发展速度_卫生_床位数,6岁及6岁以上未上过学男性人口数(人口抽样调查)(人)                                                    
全市国民经济主要指标发展速度_卫生_床位数_医院、卫生院,6岁及6岁以上未上过学女性人口数(人口抽样调查)(人)                                                    
市区国民经济主要指标_人口_年末户籍总人口,6岁及6岁以上小学人口数(人口抽样调查)(人)                                                            
市区国民经济主要指标_人口_年末总人口_非农业人口,6岁及6岁以上小学男性人口数(人口抽样调查)(人)                                                        
市区国民经济主要指标_年末常住人口,6岁及6岁以上小学女性人口数(人口抽样调查)(人)                                                        
市区国民经济主要指标_地区生产总值,6岁及6岁以上初中人口数(人口抽样调查)(人)                                                            
市区国民经济主要指标_第一产业,6岁及6岁以上初中男性人口数(人口抽样调查)(人)                                                        
市区国民经济主要指标_第二产业,6岁及6岁以上初中女性人口数(人口抽样调查)(人)                                                        
市区国民经济主要指标_第二产业_工业增加值,6岁及6岁以上高中人口数(人口抽样调查)(人)                                                            
市区国民经济主要指标_第三产业,6岁及6岁以上高中男性人口数(人口抽样调查)(人)                                                        
市区国民经济主要指标_第三产业_人均GDP,6岁及6岁以上高中女性人口数(人口抽样调查)(人)                                                        
市区国民经济主要指标_运输邮电_全社会客运量,6岁及6岁以上大专及以上人口数(人口抽样调查)(人)                                                      
市区国民经济主要指标_运输邮电_全社会货运量,6岁及6岁以上大专及以上男性人口数(人口抽样调查)(人)                                                  
市区国民经济主要指标_运输邮电_邮电业务总量,6岁及6岁以上大专及以上女性人口数(人口抽样调查)(人)                                                  
市区国民经济主要指标_国内贸易_社会消费品零售总额,家庭户户数(人口抽样调查)(户)                                                                        
市区国民经济主要指标_对外经济和国际旅游_出口总额,一人户家庭户户数(人口抽样调查)(户)                                                                  
市区国民经济主要指标_对外经济和国际旅游_利用外资_新签协议（合同）项目数,二人户家庭户户数(人口抽样调查)(户)                                                                  
市区国民经济主要指标_对外经济和国际旅游_利用外资_协议（合同）外资金额,三人户家庭户户数(人口抽样调查)(户)                                                                  
市区国民经济主要指标_对外经济和国际旅游_利用外资_实际利用外资,四人户家庭户户数(人口抽样调查)(户)                                                                  
市区国民经济主要指标_电力_全社会用电量,五人户家庭户户数(人口抽样调查)(户)                                                                  
市区国民经济主要指标_电力_全社会用电量_工业用电量,六人户家庭户户数(人口抽样调查)(户)                                                                  
市区国民经济主要指标_固定资产投资_全社会固定资产投资,七人户家庭户户数(人口抽样调查)(户)                                                                  
市区国民经济主要指标_财政_财政一般预算收入,八人户家庭户户数(人口抽样调查)(户)                                                                  
市区国民经济主要指标_财政_财政一般预算收入_地方财政收入,九人户家庭户户数(人口抽样调查)(户)                                                                  
市区国民经济主要指标_财政_财政一般预算支出,十人及以上户家庭户户数(人口抽样调查)(户)                                                            
市区国民经济主要指标_金融_金融机构年末存款余额,城镇单位就业人员(万人)                                                                              
市区国民经济主要指标_金融_金融机构年末贷款余额,农林牧渔业城镇单位就业人员(万人)                                                                    
市区国民经济主要指标_工资_职工工资总额,采矿业城镇单位就业人员(万人)                                                                        
市区国民经济主要指标_工资_职工平均工资,制造业城镇单位就业人员(万人)                                                                        
市区国民经济主要指标_人民生活_农村居民人均纯收入,电力、燃气及水的生产和供应业城镇单位就业人员(万人)                                                  
市区国民经济主要指标_人民生活_城镇居民人均可支配收入,建筑业城镇单位就业人员(万人)                                                                        
市区国民经济主要指标_人民生活_城乡居民储蓄年末存款余额,交通运输、仓储及邮电通信业城镇单位就业人员(万人)                                                    
市区国民经济主要指标_教育_在校学生数_高等学校,信息传输、计算机服务和软件业城镇单位就业人员(万人)                                                  
市区国民经济主要指标_教育_在校学生数_中等专业学校,批发和零售业城镇单位就业人员(万人)                                                                  
市区国民经济主要指标_教育_在校学生数_职业中学,住宿和餐饮业城镇单位就业人员(万人)                                                                  
市区国民经济主要指标_教育_在校学生数_普通中学,金融业城镇单位就业人员(万人)                                                                        
市区国民经济主要指标_教育_在校学生数_小学,房地产业城镇单位就业人员(万人)                                                                      
市区国民经济主要指标_卫生_卫生机构数,租赁和商务服务业城镇单位就业人员(万人)                                                              
市区国民经济主要指标_卫生_卫生机构数_医院、卫生院,科学研究、技术服务和地质勘查业城镇单位就业人员(万人)                                                
市区国民经济主要指标_卫生_卫生技术人员,水利、环境和公共设施管理业城镇单位就业人员(万人)                                                    
市区国民经济主要指标_卫生_卫生技术人员_医生,居民服务和其他服务业城镇单位就业人员(万人)                                                          
市区国民经济主要指标_卫生_床位数,教育业城镇单位就业人员(万人)                                                                        
市区国民经济主要指标_卫生_床位数_医院、卫生院,卫生、社会保障和社会福利业城镇单位就业人员(万人)                                                    
市区国民经济主要指标发展速度_人口_年末总人口,文化、体育和娱乐业城镇单位就业人员(万人)                                                            
市区国民经济主要指标发展速度_人口_年末总人口_非农业人口,公共管理和社会组织城镇单位就业人员(万人)                                                            
市区国民经济主要指标发展速度_年末常住人口,城镇私营企业和个体就业人员(万人)                                                                    
市区国民经济主要指标发展速度_地区生产总值,制造业城镇私营企业和个体就业人员(万人)                                                              
市区国民经济主要指标发展速度_第一产业,建筑业城镇私营企业和个体就业人员(万人)                                                              
市区国民经济主要指标发展速度_第二产业,交通运输、仓储和邮政业城镇私营企业和个体就业人员(万人)                                              
市区国民经济主要指标发展速度_第二产业_工业增加值,批发和零售业城镇私营企业和个体就业人员(万人)                                                        
市区国民经济主要指标发展速度_第三产业,住宿和餐饮业城镇私营企业和个体就业人员(万人)                                                        
市区国民经济主要指标发展速度_第三产业_人均GDP,租赁和商务服务业城镇私营企业和个体就业人员(万人)                                                    
市区国民经济主要指标发展速度_运输邮电_全社会客运量,居民服务和其他服务业城镇私营企业和个体就业人员(万人)                                                
市区国民经济主要指标发展速度_运输邮电_全社会货运量,私营企业户数(万户)                                                                                  
市区国民经济主要指标发展速度_运输邮电_邮电业务总量,私营企业就业人数(万人)                                                                              
市区国民经济主要指标发展速度_国内贸易_社会消费品零售总额,私营企业投资者就业人数(万人)                                                                        
市区国民经济主要指标发展速度_对外经济和国际旅游_出口总额,城镇私营企业就业人数(万人)                                                                          
市区国民经济主要指标发展速度_对外经济和国际旅游_利用外资_新签协议（合同）项目数,城镇私营企业投资者就业人数(万人)                                                                    
市区国民经济主要指标发展速度_对外经济和国际旅游_利用外资_协议（合同）外资金额,乡村私营企业就业人数(万人)                                                                          
市区国民经济主要指标发展速度_对外经济和国际旅游_利用外资_实际利用外资,乡村私营企业投资者就业人数(万人)                                                                    
市区国民经济主要指标发展速度_电力_全社会用电量,个体户数(万户)                                                                                      
市区国民经济主要指标发展速度_电力_全社会用电量_工业用电量,个体就业人数(万人)                                                                                  
市区国民经济主要指标发展速度_固定资产投资_全社会固定资产投资,城镇就业人数(万人)                                                                                  
市区国民经济主要指标发展速度_财政_财政一般预算收入,乡村个体就业人数(万人)                                                                              
市区国民经济主要指标发展速度_财政_财政一般预算收入_地方财政收入,城镇单位就业人员工资总额(亿元)                                                                      
市区国民经济主要指标发展速度_财政_财政一般预算支出,国有城镇单位就业人员工资总额(亿元)                                                                  
市区国民经济主要指标发展速度_金融_金融机构年末存款余额,城镇集体单位就业人员工资总额(亿元)                                                                  
市区国民经济主要指标发展速度_金融_金融机构年末贷款余额,其他城镇单位就业人员工资总额(亿元)                                                                  
市区国民经济主要指标发展速度_工资_职工工资总额,城镇单位就业人员工资总额指数(上年=100)                                                              
市区国民经济主要指标发展速度_工资_职工平均工资,国有城镇单位就业人员工资总额指数(上年=100)                                                          
市区国民经济主要指标发展速度_人民生活_农村居民人均纯收入,城镇集体单位就业人员工资总额指数(上年=100)                                                          
市区国民经济主要指标发展速度_人民生活_城镇居民人均可支配收入,其他城镇单位就业人员工资总额指数(上年=100)                                                          
市区国民经济主要指标发展速度_人民生活_城乡居民储蓄年末存款余额,城镇单位就业人员工资总额(亿元)                                                                      
市区国民经济主要指标发展速度_教育_在校学生数_高等学校,农、林、牧、渔业城镇单位就业人员工资总额(亿元)                                                      
市区国民经济主要指标发展速度_教育_在校学生数_中等专业学校,采矿业城镇单位就业人员工资总额(亿元)                                                                
市区国民经济主要指标发展速度_教育_在校学生数_职业中学,制造业城镇单位就业人员工资总额(亿元)                                                                
市区国民经济主要指标发展速度_教育_在校学生数_普通中学,电力、燃气及水的生产和供应业城镇单位就业人员工资总额(亿元)                                          
市区国民经济主要指标发展速度_教育_在校学生数_小学,建筑业城镇单位就业人员工资总额(亿元)                                                                
市区国民经济主要指标发展速度_卫生_卫生机构数,交通运输、仓储和邮政业城镇单位就业人员工资总额(亿元)                                                
市区国民经济主要指标发展速度_卫生_卫生机构数_医院、卫生院,信息传输、计算机服务和软件业城镇单位就业人员工资总额(亿元)                                          
市区国民经济主要指标发展速度_卫生_卫生技术人员,批发和零售业城镇单位就业人员工资总额(亿元)                                                          
市区国民经济主要指标发展速度_卫生_卫生技术人员_医生,住宿和餐饮业城镇单位就业人员工资总额(亿元)                                                          
市区国民经济主要指标发展速度_卫生_床位数,金融业城镇单位就业人员工资总额(亿元)                                                                
市区国民经济主要指标发展速度_卫生_床位数_医院、卫生院,房地产业城镇单位就业人员工资总额(亿元)                                                              
全市生产总值_地区生产总值,租赁和商务服务业城镇单位就业人员工资总额(亿元)                                                      
全市生产总值_第一产业增加值,科学研究、技术服务和地质勘查业城镇单位就业人员工资总额(亿元)                                        
全市生产总值_第二产业增加值,水利、环境和公共设施管理业城镇单位就业人员工资总额(亿元)                                            
全市生产总值_第二产业增加值_工业增加值,居民服务和其他服务业城镇单位就业人员工资总额(亿元)                                                  
全市生产总值_第二产业增加值_建筑业增加值,教育城镇单位就业人员工资总额(亿元)                                                                  
全市生产总值_第三产业增加值,卫生、社会保障和社会福利业城镇单位就业人员工资总额(亿元)                                            
全市生产总值_人均生产总值（按常住）,文化、体育和娱乐业城镇单位就业人员工资总额(亿元)                                                    
全市生产总值增长率_地区生产总值,公共管理和社会组织城镇单位就业人员工资总额(亿元)                                                    
全市生产总值增长率_第一产业增加值,城镇单位就业人员平均工资(元)                                                                        
全市生产总值增长率_第二产业增加值,农、林、牧、渔业城镇单位就业人员平均工资(元)                                                        
全市生产总值增长率_第二产业增加值_工业增加值,采矿业城镇单位就业人员平均工资(元)                                                                  
全市生产总值增长率_第二产业增加值_建筑业增加值,制造业城镇单位就业人员平均工资(元)                                                                  
全市生产总值增长率_第三产业增加值,电力、燃气及水的生产和供应业城镇单位就业人员平均工资(元)                                            
全市生产总值增长率_人均生产总值（按常住）,建筑业城镇单位就业人员平均工资(元)                                                                  
全市生产总值指数_地区生产总值,交通运输、仓储和邮政业城镇单位就业人员平均工资(元)                                                  
全市生产总值指数_第一产业增加值,信息传输、计算机服务和软件业城镇单位就业人员平均工资(元)                                            
全市生产总值指数_第二产业增加值,批发和零售业城镇单位就业人员平均工资(元)                                                            
全市生产总值指数_第二产业增加值_工业增加值,住宿和餐饮业城镇单位就业人员平均工资(元)                                                            
全市生产总值指数_第二产业增加值_建筑业增加值,金融业城镇单位就业人员平均工资(元)                                                                  
全市生产总值指数_第三产业增加值,房地产业城镇单位就业人员平均工资(元)                                                                
全市生产总值指数_人均生产总值（按常住）,租赁和商务服务业城镇单位就业人员平均工资(元)                                                        
全市生产总值构成_地区生产总值,科学研究、技术服务和地质勘查业城镇单位就业人员平均工资(元)                                          
全市生产总值构成_第一产业增加值,水利、环境和公共设施管理业城镇单位就业人员平均工资(元)                                              
全市生产总值构成_第二产业增加值,居民服务和其他服务业城镇单位就业人员平均工资(元)                                                    
全市生产总值构成_第二产业增加值_工业增加值,教育城镇单位就业人员平均工资(元)                                                                    
全市生产总值构成_第二产业增加值_建筑业增加值,卫生、社会保障和社会福利业城镇单位就业人员平均工资(元)                                              
全市生产总值构成_第三产业增加值,文化、体育和娱乐业城镇单位就业人员平均工资(元)                                                      
市区生产总值_地区生产总值,公共管理和社会组织城镇单位就业人员平均工资(元)                                                      
市区生产总值_第一产业增加值,城镇私营单位就业人员平均工资(元)                                                                    
市区生产总值_第二产业增加值,农、林、牧、渔业城镇私营单位就业人员平均工资(元)                                                    
市区生产总值_第二产业增加值_工业增加值,采矿业城镇私营单位就业人员平均工资(元)                                                              
市区生产总值_第二产业增加值_建筑业增加值,制造业城镇私营单位就业人员平均工资(元)                                                              
市区生产总值_第三产业增加值,电力、燃气及水的生产和供应业城镇私营单位就业人员平均工资(元)                                        
市区生产总值_人均生产总值,建筑业城镇私营单位就业人员平均工资(元)                                                              
市区生产总值增长率_地区生产总值,交通运输、仓储和邮政业城镇私营单位就业人员平均工资(元)                                              
市区生产总值增长率_第一产业增加值,信息传输、计算机服务和软件业城镇私营单位就业人员平均工资(元)                                        
市区生产总值增长率_第二产业增加值,批发和零售业城镇私营单位就业人员平均工资(元)                                                        
市区生产总值增长率_第二产业增加值_工业增加值,住宿和餐饮业城镇私营单位就业人员平均工资(元)                                                        
市区生产总值增长率_第二产业增加值_建筑业增加值,金融业城镇私营单位就业人员平均工资(元)                                                              
市区生产总值增长率_第三产业增加值,房地产业城镇私营单位就业人员平均工资(元)                                                            
市区生产总值增长率_人均GDP,租赁和商务服务业城镇私营单位就业人员平均工资(元)                                                    
市区生产总值指数_地区生产总值,科学研究、技术服务和地质勘查业城镇私营单位就业人员平均工资(元)                                      
市区生产总值指数_第一产业增加值,水利、环境和公共设施管理业城镇私营单位就业人员平均工资(元)                                          
市区生产总值指数_第二产业增加值,居民服务和其他服务业城镇私营单位就业人员平均工资(元)                                                
市区生产总值指数_第二产业增加值_工业增加值,教育城镇私营单位就业人员平均工资(元)                                                                
市区生产总值指数_第二产业增加值_建筑业增加值,卫生、社会保障和社会福利业城镇私营单位就业人员平均工资(元)                                          
市区生产总值指数_第三产业增加值,文化、体育和娱乐业城镇私营单位就业人员平均工资(元)                                                  
市区生产总值指数_人均GDP,城镇登记失业人数(万人)                                                                              
市区生产总值构成_地区生产总值,城镇登记失业率(%)                                                                                   
市区生产总值构成_第一产业增加值,城乡居民人民币储蓄存款年底余额(亿元)                                                                
市区生产总值构成_第二产业增加值,城镇居民家庭人均食品消费支出(元)                                                                    
市区生产总值构成_第二产业增加值_工业增加值,城镇居民家庭人均衣着消费支出(元)                                                                    
市区生产总值构成_第二产业增加值_建筑业增加值,城镇居民家庭人均居住消费支出(元)                                                                    
市区生产总值构成_第三产业增加值,城镇居民家庭人均家庭设备及用品消费支出(元)                                                          
分地区生产总值,城镇居民家庭人均医疗保健消费支出(元)                                                                
分地区第一产业增加值,城镇居民家庭人均交通和通信消费支出(元)                                                              
分地区第二产业增加值,城镇居民家庭人均文教娱乐服务消费支出(元)                                                            
分地区工业增加值,城镇居民家庭人均其它消费支出(元)                                                                    
分地区第三产业增加值,农村居民家庭人均家庭经营纯收入(元)                                                                  
分地区人均生产总值,农村居民家庭人均财产性纯收入(元)                                                                    
分地区生产总值增长率,农村居民家庭人均转移性纯收入(元)                                                                    
